ligand_id,pose_sdf,mode,ligand_strain_kcal,clash_count,pose_drift_rmsd,interaction_energy_kj,ok,note,rank
adagrasib,/home/sagemaker-user/PhysDock/results/diffdock/raw_out/adagrasib/rank1_confidence-2.83.sdf,openmm,,,1.421,-475.938,True,restrained minimization; interaction_energy=E(complex)-E(receptor)-E(ligand) on minimized restraint-free geometry; drift=ligand heavy-atom RMSD pre/post,1
ars1620,/home/sagemaker-user/PhysDock/results/diffdock/raw_out/ars1620/rank1_confidence-2.01.sdf,openmm,,,1.281,-288.696,True,restrained minimization; interaction_energy=E(complex)-E(receptor)-E(ligand) on minimized restraint-free geometry; drift=ligand heavy-atom RMSD pre/post,1
ars1620,/home/sagemaker-user/PhysDock/results/diffdock/raw_out/ars1620/rank2_confidence-2.21.sdf,openmm,,,1.076,-297.293,True,restrained minimization; interaction_energy=E(complex)-E(receptor)-E(ligand) on minimized restraint-free geometry; drift=ligand heavy-atom RMSD pre/post,2
ars1620,/home/sagemaker-user/PhysDock/results/diffdock/raw_out/ars1620/rank3_confidence-2.90.sdf,openmm,,,1.669,-132.357,True,restrained minimization; interaction_energy=E(complex)-E(receptor)-E(ligand) on minimized restraint-free geometry; drift=ligand heavy-atom RMSD pre/post,3
ars853,/home/sagemaker-user/PhysDock/results/diffdock/raw_out/ars853/rank1_confidence-2.97.sdf,openmm,,,1.51,-277.834,True,restrained minimization; interaction_energy=E(complex)-E(receptor)-E(ligand) on minimized restraint-free geometry; drift=ligand heavy-atom RMSD pre/post,1
sotorasib,/home/sagemaker-user/PhysDock/results/diffdock/raw_out/sotorasib/rank1_confidence-1.00.sdf,openmm,,,0.997,-413.994,True,restrained minimization; interaction_energy=E(complex)-E(receptor)-E(ligand) on minimized restraint-free geometry; drift=ligand heavy-atom RMSD pre/post,1
