ligand_id,complex_pdb,ptm,iptm,complex_plddt,confidence_score,affinity_pred_value,affinity_prob_binary
ars853,results/boltz/preds/ars853/boltz_results_ars853/predictions/ars853/ars853_model_1.pdb,0.9830321669578552,0.9819154143333435,0.9778217673301697,0.9786404967308044,-0.2010602355003357,0.753656804561615
adagrasib,results/boltz/preds/adagrasib/boltz_results_adagrasib/predictions/adagrasib/adagrasib_model_1.pdb,0.9831302762031555,0.9861578941345215,0.9764961004257202,0.9784284830093384,-1.988565444946289,0.9550476670265198
ars1620,results/boltz/preds/ars1620/boltz_results_ars1620/predictions/ars1620/ars1620_model_3.pdb,0.9807574152946472,0.9868300557136536,0.973111093044281,0.9758548736572266,-0.7051113843917847,0.9513728618621826
sotorasib,results/boltz/preds/sotorasib/boltz_results_sotorasib/predictions/sotorasib/sotorasib_model_2.pdb,0.9777716398239136,0.9771263599395752,0.9550304412841797,0.9594495892524719,0.6274880170822144,0.8515259027481079
